product_id,product_name,category,price,review_score,review_count,sales_month_1,sales_month_2,sales_month_3,sales_month_4,sales_month_5,sales_month_6,sales_month_7,sales_month_8,sales_month_9,sales_month_10,sales_month_11,sales_month_12,total_sales,average_monthly_sales,total_revenue,review_score_category,average_monthly_growth_rate
22,Product_22,Books,74.05,2.2,619,733,791,382,720,508,265,580,505,22,91,16,636,5249,437.4166666666667,388688.45,Medium,3.7126551630843845
23,Product_23,Books,149.61,4.7,596,302,337,855,224,297,119,776,181,154,790,55,745,4835,402.9166666666667,723364.3500000001,High,1.908324552144386
24,Product_24,Sports,186.35,4.9,850,162,830,894,970,908,711,257,710,185,446,225,572,6870,572.5,1280224.5,High,0.6224443538673001
25,Product_25,Clothing,230.75,4.8,250,18,713,375,347,163,916,929,813,248,108,557,306,5493,457.75,1267509.75,High,4.044399667267002
26,Product_26,Clothing,393.66,2.9,875,369,360,470,991,375,247,187,766,748,316,66,265,5160,430.0,2031285.6,Medium,0.44573304048969203
27,Product_27,Electronics,103.84,4.4,441,263,568,789,320,652,69,229,633,804,167,196,645,5335,444.5833333333333,553986.4,High,0.6475491443820878
28,Product_28,Toys,259.55,4.4,533,793,391,641,558,267,852,188,542,133,811,653,317,6146,512.1666666666666,1595194.3,High,0.5827154136447997
29,Product_29,Books,298.25,2.3,196,112,217,30,987,548,56,414,983,320,981,834,112,5594,466.1666666666667,1668410.5,Medium,3.525092208125412
30,Product_30,Books,27.99,4.3,690,487,573,374,180,73,381,9,314,389,919,22,900,4621,385.0833333333333,129341.79,High,6.943834161453818
31,Product_31,Health,305.73,1.1,929,326,668,10,617,507,38,113,990,433,434,998,377,5511,459.25,1684878.03,Low,6.319312958204196
32,Product_32,Clothing,89.41,3.4,987,541,201,987,710,72,983,75,796,21,441,605,453,5885,490.4166666666667,526177.85,Medium,3.872015860499971
33,Product_33,Clothing,37.2,1.9,519,646,16,301,385,307,800,675,617,872,217,753,190,5779,481.5833333333333,214978.80000000002,Low,1.7874491706867088
34,Product_34,Toys,474.7,1.5,70,578,321,95,617,198,442,501,735,599,221,236,890,5433,452.75,2579045.1,Low,0.6838913798157186
35,Product_35,Clothing,482.99,1.3,639,64,517,189,791,129,17,84,272,664,672,956,439,4794,399.5,2315454.06,Low,1.4034608067295296
36,Product_36,Home & Kitchen,405.16,3.8,399,291,569,452,771,757,951,48,909,124,527,918,186,6503,541.9166666666666,2634755.48,Medium,1.9102279994996307
37,Product_37,Home & Kitchen,155.78,2.4,978,24,324,191,107,823,731,494,231,78,277,922,830,5032,419.3333333333333,783884.96,Medium,1.9536906661592042
38,Product_38,Sports,53.35,3.9,672,548,411,485,530,571,824,837,419,857,568,565,366,6981,581.75,372436.35000000003,Medium,0.03729783199108368
39,Product_39,Home & Kitchen,343.7,1.3,760,0,317,265,409,790,755,688,767,967,573,137,88,5756,479.6666666666667,1978337.2,Low,inf
40,Product_40,Home & Kitchen,222.88,2.3,203,910,680,423,970,614,351,386,441,50,874,472,186,6357,529.75,1416848.16,Medium,1.3306182819710626
41,Product_41,Toys,65.41,3.2,148,548,964,127,295,807,971,969,495,727,465,844,818,8030,669.1666666666666,525242.2999999999,Medium,0.32307658935737743
42,Product_42,Books,250.11,4.2,472,140,81,237,817,831,815,388,23,175,838,783,945,6073,506.0833333333333,1518918.03,High,1.183956348618999
43,Product_43,Home & Kitchen,22.02,2.3,655,743,473,919,170,486,297,217,108,869,753,552,131,5718,476.5,125910.36,Medium,0.5769068993897536
44,Product_44,Sports,455.11,3.5,944,647,467,354,330,852,282,700,702,252,601,609,871,6667,555.5833333333334,3034218.37,Medium,0.2724887826429186
45,Product_45,Clothing,133.1,4.5,199,900,424,939,492,150,585,980,501,965,583,694,634,7847,653.9166666666666,1044435.7,High,0.29411305361823903
46,Product_46,Home & Kitchen,332.95,3.5,917,187,944,111,194,668,109,345,858,245,837,639,559,5696,474.6666666666667,1896483.2,Medium,0.9556497411057251
47,Product_47,Sports,159.3,1.9,426,127,730,827,11,205,179,229,24,738,29,228,799,4126,343.8333333333333,657271.8,Low,5.3585115536823045
48,Product_48,Toys,262.43,1.1,666,200,688,445,194,985,937,254,186,105,358,316,375,5043,420.25,1323434.49,Low,0.5998307037517318
49,Product_49,Health,275.62,4.5,492,126,203,342,489,178,543,235,287,192,918,597,690,4800,400.0,1322976.0,High,0.5500579450956743
50,Product_50,Health,96.5,1.1,888,256,582,144,794,196,745,25,627,315,287,767,691,5429,452.4166666666667,523898.5,Low,2.8348243527013377
51,Product_51,Health,484.94,4.5,896,675,386,64,880,734,793,583,337,301,85,720,98,5656,471.3333333333333,2742820.64,High,1.4997837486506769
52,Product_52,Clothing,388.69,3.1,142,546,777,246,181,88,24,260,877,547,233,726,841,5346,445.5,2077936.74,Medium,1.0695214547669663
53,Product_53,Sports,470.05,4.8,313,193,97,734,961,798,842,765,913,953,746,885,33,7920,660.0,3722796.0,High,0.4924201162335645
54,Product_54,Home & Kitchen,447.94,4.2,165,702,344,990,816,433,790,270,36,715,312,611,931,6950,579.1666666666666,3113183.0,High,1.8001764244575995
55,Product_55,Books,300.96,5.0,314,103,802,489,655,787,737,122,793,933,364,560,581,6926,577.1666666666666,2084448.96,High,1.061979788063156
56,Product_56,Clothing,461.33,2.4,21,534,207,824,897,747,56,655,136,778,776,200,170,5980,498.3333333333333,2758753.4,Medium,1.3722239202422781
57,Product_57,Clothing,48.8,4.1,82,264,513,438,315,182,179,256,507,267,798,947,365,5031,419.25,245512.8,High,0.23414794556338422
58,Product_58,Health,102.01,2.6,581,801,635,105,693,208,231,655,226,169,838,257,783,5601,466.75,571358.01,Medium,0.9281012077634969
59,Product_59,Books,27.39,2.9,131,941,791,180,29,492,893,420,319,550,904,479,58,6056,504.6666666666667,165873.84,Medium,1.2962181699009951
60,Product_60,Health,166.04,3.5,599,973,585,183,595,129,342,258,839,454,268,887,180,5693,474.4166666666667,945265.72,Medium,0.4257977152507642
61,Product_61,Clothing,197.4,4.5,730,383,165,225,677,664,476,947,915,650,697,177,18,5994,499.5,1183215.6,High,0.054094112727083005
62,Product_62,Home & Kitchen,139.32,4.9,933,259,21,776,795,12,798,46,181,291,130,756,225,4290,357.5,597682.7999999999,High,9.612085590269182
63,Product_63,Health,415.23,4.1,984,413,153,789,792,633,575,862,873,563,802,122,472,7049,587.4166666666666,2926956.27,High,0.5310016474777067
64,Product_64,Health,181.59,2.7,305,990,938,908,95,870,454,524,85,798,992,341,94,7089,590.75,1287291.51,Medium,1.2060911657344806
65,Product_65,Health,144.06,2.7,915,357,438,88,380,731,231,887,466,800,788,170,880,6216,518.0,895476.96,Medium,0.8586194153345313
66,Product_66,Clothing,273.63,4.0,371,74,294,687,777,105,288,207,925,140,831,844,296,5468,455.6666666666667,1496208.84,High,1.0872248805144034
67,Product_67,Home & Kitchen,74.76,2.0,857,354,218,529,443,374,212,310,52,145,350,647,592,4226,352.1666666666667,315935.76,Medium,0.35334245147293514
68,Product_68,Books,402.09,1.4,853,583,668,370,297,581,257,746,859,424,179,58,174,5196,433.0,2089259.64,Low,0.1995408995317609
69,Product_69,Electronics,41.9,2.4,384,770,494,971,807,706,529,148,866,313,801,704,221,7330,610.8333333333334,307127.0,Medium,0.3915334519026425
70,Product_70,Books,493.51,2.1,908,909,229,935,736,697,686,833,234,183,479,464,614,6999,583.25,3454076.4899999998,Medium,0.29454415175828075
71,Product_71,Home & Kitchen,387.26,2.2,445,187,19,912,844,98,928,437,958,663,888,779,53,6766,563.8333333333334,2620201.16,Medium,4.841126431203985
72,Product_72,Toys,103.36,1.9,425,972,986,398,360,593,228,154,778,712,162,259,694,6296,524.6666666666666,650754.5599999999,Low,0.4093335322063527
73,Product_73,Health,7.73,1.2,161,684,552,105,373,586,225,677,798,127,782,372,862,6143,511.9166666666667,47485.39,Low,0.8001613543214717
74,Product_74,Books,408.65,1.1,178,991,949,270,553,885,595,89,432,286,887,972,402,7311,609.25,2987640.15,Low,0.4399374282750841
75,Product_75,Toys,354.89,5.0,629,289,147,974,302,851,802,697,495,822,95,94,317,5885,490.4166666666667,2088527.65,High,0.7201927003572943
76,Product_76,Toys,365.86,2.7,708,44,107,830,420,191,434,829,998,252,773,124,866,5868,489.0,2146866.48,Medium,1.4545557659678707
77,Product_77,Home & Kitchen,386.78,2.5,895,572,402,502,245,324,881,357,99,1000,509,40,348,5279,439.9166666666667,2041811.6199999999,Medium,1.4138467126350074
78,Product_78,Home & Kitchen,41.65,3.7,490,82,595,678,719,978,757,173,989,777,364,890,442,7444,620.3333333333334,310042.6,Medium,0.9755825343567256
79,Product_79,Health,182.44,1.9,327,122,482,524,236,725,401,216,598,699,980,253,832,6068,505.6666666666667,1107045.92,Low,0.6852952281525316
80,Product_80,Electronics,62.36,4.8,598,357,366,848,533,826,621,906,402,385,352,6,579,6181,515.0833333333334,385447.16,High,8.687628244026165
81,Product_81,Sports,432.24,4.1,289,527,833,31,184,955,765,455,395,229,799,470,539,6182,515.1666666666666,2672107.68,High,0.8919441045026247
82,Product_82,Clothing,313.53,1.4,593,65,413,392,467,466,87,775,526,270,435,727,785,5408,450.6666666666667,1695570.2399999998,Low,1.1946452921632806
83,Product_83,Books,168.79,2.7,664,935,308,39,753,893,583,608,414,770,82,510,281,6176,514.6666666666666,1042447.0399999999,Medium,1.9148361946912642
84,Product_84,Home & Kitchen,36.46,4.5,573,656,801,659,362,366,892,628,938,810,224,580,359,7275,606.25,265246.5,High,0.14429853263489387
85,Product_85,Books,158.94,4.8,573,374,917,217,282,317,541,198,612,414,411,68,914,5265,438.75,836819.1,High,1.322867175863002
86,Product_86,Sports,165.97,2.9,354,161,834,730,552,143,683,831,676,197,734,80,822,6443,536.9166666666666,1069344.71,Medium,1.5707581081730124
87,Product_87,Sports,366.16,3.5,28,745,133,980,335,383,308,485,462,322,980,541,630,6304,525.3333333333334,2308272.64,Medium,0.6200449081661039
88,Product_88,Health,320.59,1.7,954,379,718,81,161,215,905,532,540,55,117,584,891,5178,431.5,1660015.0199999998,Low,0.8080707496899838
89,Product_89,Toys,444.17,5.0,43,655,282,844,159,360,342,199,625,830,481,261,952,5990,499.1666666666667,2660578.3000000003,High,0.5132912525110966
90,Product_90,Health,238.75,1.9,681,357,777,719,473,323,435,370,618,202,191,88,645,5198,433.1666666666667,1241022.5,Low,0.579348723436221
91,Product_91,Clothing,64.2,4.8,423,187,72,200,600,14,176,958,921,782,590,914,640,6054,504.5,388666.8,High,1.6377318421319051
92,Product_92,Electronics,358.06,3.6,598,321,480,446,321,216,138,852,363,620,589,207,7,4560,380.0,1632753.6,Medium,0.2817480643279407
93,Product_93,Books,381.59,3.4,177,449,351,843,11,491,193,447,129,627,658,212,992,5403,450.25,2061730.7699999998,Medium,4.612902512699943
94,Product_94,Clothing,282.83,3.1,529,473,559,427,423,950,185,247,83,603,106,833,562,5451,454.25,1541706.3299999998,Medium,1.0929172905721443
95,Product_95,Electronics,386.63,1.9,610,12,325,37,72,546,217,787,270,137,381,265,490,3539,294.9166666666667,1368283.57,Low,3.2660656099510486
96,Product_96,Books,249.43,1.7,966,183,744,210,587,182,163,263,243,421,782,911,340,5029,419.0833333333333,1254383.47,Low,0.45584973585145544
97,Product_97,Clothing,263.75,1.9,494,110,442,443,857,269,160,57,387,814,389,292,471,4691,390.9166666666667,1237251.25,Low,0.8140262637898084
98,Product_98,Home & Kitchen,216.63,1.7,198,926,99,326,200,944,942,301,213,56,243,206,792,5248,437.3333333333333,1136874.24,Low,0.822998769570562
99,Product_99,Books,17.58,4.1,610,507,58,760,521,466,524,30,817,561,584,332,686,5846,487.1666666666667,102772.68,High,3.325024590100229
100,Product_100,Clothing,58.41,2.4,577,289,507,226,863,869,807,497,165,70,868,76,694,5931,494.25,346429.70999999996,Medium,1.8132279051541667
101,Product_101,Sports,20.56,1.2,842,294,257,47,504,611,600,248,790,910,467,287,703,5718,476.5,117562.07999999999,Low,1.0275157034557187
102,Product_102,Electronics,320.02,4.9,853,450,412,17,737,518,835,604,58,913,865,46,248,5703,475.25,1825074.0599999998,High,5.325204188149445
103,Product_103,Clothing,160.61,4.5,517,903,451,911,687,541,41,776,601,593,933,621,234,7292,607.6666666666666,1171168.12,High,1.4945955100704942
104,Product_104,Home & Kitchen,256.74,4.7,514,214,64,438,787,466,914,270,882,371,537,199,82,5224,435.3333333333333,1341209.76,High,0.6096270712184264
105,Product_105,Health,454.25,5.0,22,973,594,806,38,304,209,605,842,616,209,426,92,5714,476.1666666666667,2595584.5,High,0.6648746633466946
106,Product_106,Books,128.4,1.7,112,631,153,707,59,984,740,665,923,599,603,209,884,7157,596.4166666666666,918958.8,Low,1.8086699676365894
107,Product_107,Books,208.14,2.6,57,893,984,186,577,143,861,393,503,513,636,887,393,6969,580.75,1450527.66,Medium,0.49960026184411943
108,Product_108,Books,379.0,4.0,66,566,265,344,320,110,274,796,705,871,946,419,823,6439,536.5833333333334,2440381.0,High,0.2773343233816041
109,Product_109,Home & Kitchen,118.26,3.8,842,26,820,223,434,231,953,501,122,83,72,153,267,3885,323.75,459440.10000000003,Medium,3.0546833945534573
110,Product_110,Electronics,43.11,1.6,98,629,78,829,635,690,278,591,647,993,991,521,416,7298,608.1666666666666,314616.77999999997,Low,0.8259381020904709
111,Product_111,Books,148.43,4.3,144,732,314,487,675,583,250,803,412,42,634,414,631,5977,498.0833333333333,887166.11,High,1.3416255942388893
112,Product_112,Electronics,84.8,1.9,880,230,661,908,407,721,309,83,138,665,308,352,582,5364,447.0,454867.2,Low,0.5368564638165713
113,Product_113,Clothing,465.2,1.9,435,564,946,876,922,731,719,364,228,838,695,156,528,7567,630.5833333333334,3520168.4,Low,0.33443170260603217
114,Product_114,Sports,405.02,3.1,637,806,559,848,385,591,832,885,273,933,698,260,252,7322,610.1666666666666,2965556.44,Medium,0.13518251457170835
115,Product_115,Sports,318.53,3.4,679,320,916,228,670,499,139,548,438,605,709,76,956,6104,508.6666666666667,1944307.1199999999,Medium,1.4594885546856637
116,Product_116,Electronics,436.37,3.3,86,912,890,389,568,594,791,341,561,809,589,768,121,7333,611.0833333333334,3199901.21,Medium,-0.003783654056555624
117,Product_117,Electronics,402.82,1.4,588,232,247,978,77,553,545,838,909,132,859,982,891,7243,603.5833333333334,2917625.26,Low,1.2359913918644914
118,Product_118,Sports,97.35,4.5,344,669,789,588,193,272,820,406,117,394,185,487,9,4929,410.75,479838.14999999997,High,0.2680145160395326
119,Product_119,Books,446.82,2.1,936,436,867,187,284,702,903,424,713,64,855,130,798,6363,530.25,2843115.66,Medium,1.6701713962545135
120,Product_120,Toys,271.97,1.5,294,780,609,857,526,172,529,743,994,289,252,578,315,6644,553.6666666666666,1806968.6800000002,Low,0.17709523037300823
121,Product_121,Toys,404.68,4.6,956,532,413,269,523,972,56,92,904,375,12,454,837,5439,453.25,2201054.52,High,4.170974543282904
122,Product_122,Home & Kitchen,448.57,4.8,571,402,24,606,612,6,111,847,482,768,298,739,272,5167,430.5833333333333,2317761.19,High,4.259856080437304
123,Product_123,Health,162.41,4.4,650,52,283,309,155,154,4,613,394,466,75,162,305,2972,247.66666666666666,482682.52,High,14.212223910174542
124,Product_124,Sports,59.48,4.2,611,786,448,131,339,521,409,411,702,897,50,14,804,5512,459.3333333333333,327853.76,High,5.138825746793911
125,Product_125,Sports,117.83,3.6,704,312,880,550,124,545,413,431,875,212,786,231,209,5568,464.0,656077.44,Medium,0.549650971650863
126,Product_126,Home & Kitchen,216.42,3.2,243,280,300,71,870,547,181,677,459,147,148,194,957,4831,402.5833333333333,1045525.0199999999,Medium,1.4100395528999423
127,Product_127,Toys,409.92,1.3,831,725,67,792,279,920,12,158,834,572,730,860,729,6678,556.5,2737445.7600000002,Low,2.4553723586664193
128,Product_128,Clothing,431.06,2.6,561,30,6,844,916,517,338,13,692,470,121,541,752,5240,436.6666666666667,2258754.4,Medium,17.476101650698446
129,Product_129,Books,8.44,2.5,960,336,816,671,905,919,796,372,934,148,210,358,885,7350,612.5,62033.99999999999,Medium,0.38304841310922294
130,Product_130,Books,257.82,2.0,32,182,136,186,621,913,258,224,77,87,279,849,463,4275,356.25,1102180.5,Medium,0.48577233312906093
131,Product_131,Clothing,211.62,3.9,391,22,163,485,845,214,89,504,951,323,537,330,711,5174,431.1666666666667,1094921.8800000001,Medium,1.2833672042802609
132,Product_132,Clothing,114.94,3.0,277,543,82,190,868,133,615,72,411,894,684,426,727,5645,470.4166666666667,648836.2999999999,Medium,1.0826238650899944
133,Product_133,Toys,64.33,1.3,532,445,896,421,657,284,890,248,74,395,155,496,716,5677,473.0833333333333,365201.41,Low,0.6873472782156532
134,Product_134,Home & Kitchen,172.12,1.9,154,73,649,119,727,125,697,510,294,789,237,827,924,5971,497.5833333333333,1027728.52,Low,1.7118116038120947
135,Product_135,Clothing,471.74,3.7,383,9,419,219,909,920,249,602,792,403,375,485,415,5797,483.0833333333333,2734676.7800000003,Medium,4.439392283169978
136,Product_136,Home & Kitchen,164.99,1.3,68,483,72,52,673,438,254,215,20,81,81,807,215,3391,282.5833333333333,559481.0900000001,Low,1.8421078087680285
137,Product_137,Health,261.8,4.4,878,455,236,733,127,848,587,972,905,640,491,448,79,6521,543.4166666666666,1707197.8,High,0.4833942239272117
138,Product_138,Electronics,352.99,3.0,884,565,45,450,313,685,897,601,170,285,355,412,778,5556,463.0,1961212.44,Medium,0.9270054172894455
139,Product_139,Books,185.0,2.9,214,563,617,411,331,151,970,540,14,381,924,329,479,5710,475.8333333333333,1056350.0,Medium,2.7710477773635924
140,Product_140,Toys,486.03,3.4,655,659,927,642,149,330,107,946,210,864,272,731,901,6738,561.5,3274870.1399999997,Medium,1.0256905135099765
141,Product_141,Books,481.41,4.3,376,159,799,236,453,537,667,816,559,791,579,888,890,7374,614.5,3549917.3400000003,High,0.4780830992221874
142,Product_142,Toys,129.63,2.4,744,881,261,757,35,382,593,938,85,269,43,990,546,5780,481.6666666666667,749261.4,Medium,3.025568025375067
143,Product_143,Electronics,251.14,3.7,213,13,175,737,684,114,588,987,148,291,572,146,800,5255,437.9166666666667,1319740.7,Medium,2.2200622554643314
144,Product_144,Books,153.93,3.3,79,177,165,719,419,893,484,219,699,452,122,258,17,4624,385.3333333333333,711772.3200000001,Medium,0.389749678225772
145,Product_145,Electronics,146.0,2.1,726,411,656,405,21,481,981,839,371,714,348,291,164,5682,473.5,829572.0,Medium,1.9380678884187204
146,Product_146,Toys,23.26,4.5,628,877,841,607,205,283,971,726,479,23,707,810,524,7053,587.75,164052.78,High,2.710657240301175
147,Product_147,Clothing,306.73,4.2,604,52,369,421,638,898,257,220,817,955,329,142,201,5299,441.5833333333333,1625362.27,High,0.7614922174154004
148,Product_148,Health,253.83,3.6,782,407,794,711,847,74,638,388,150,862,408,992,740,7011,584.25,1779602.1300000001,Medium,1.1035152604197487
149,Product_149,Books,30.48,4.4,923,846,53,246,956,165,996,553,140,310,990,936,345,6536,544.6666666666666,199217.28,High,1.0299597872212716
150,Product_150,Electronics,142.93,4.5,381,21,689,71,355,188,902,646,68,460,322,746,365,4833,402.75,690780.6900000001,High,3.939293011727608
151,Product_151,Sports,454.59,3.8,680,29,418,829,439,77,281,41,259,207,110,626,976,4292,357.6666666666667,1951100.2799999998,Medium,2.254088507761477
152,Product_152,Books,123.58,4.3,58,702,755,184,728,946,985,675,987,791,769,364,447,8333,694.4166666666666,1029792.14,High,0.20353423857317476
153,Product_153,Books,76.72,3.8,796,259,506,5,95,601,87,872,845,716,88,89,512,4675,389.5833333333333,358666.0,Medium,3.1964603668790414
154,Product_154,Books,247.28,3.7,26,204,340,205,928,687,203,282,967,663,432,719,318,5948,495.6666666666667,1470821.44,Medium,0.46311901754908347
155,Product_155,Home & Kitchen,492.9,3.5,881,58,126,543,940,20,15,57,520,437,709,163,216,3804,317.0,1874991.5999999999,Medium,1.3568190447999657
156,Product_156,Electronics,124.82,4.0,447,470,408,610,163,565,150,813,632,537,793,480,33,5654,471.1666666666667,705732.2799999999,High,0.4145418952999442
157,Product_157,Electronics,337.71,1.6,66,775,923,905,147,183,935,833,370,705,711,83,870,7440,620.0,2512562.4,Low,1.1396138308523154
158,Product_158,Books,382.0,4.5,921,465,366,386,529,870,253,536,418,335,98,76,265,4597,383.0833333333333,1756054.0,High,0.21839798446323302
159,Product_159,Clothing,122.63,4.5,760,11,270,767,293,221,187,72,100,421,538,672,639,4191,349.25,513942.32999999996,High,2.530037456484207
160,Product_160,Books,365.47,1.1,254,630,643,698,194,826,328,884,660,749,600,516,723,7451,620.9166666666666,2723116.97,Low,0.3343402248154709
161,Product_161,Home & Kitchen,187.05,4.3,899,926,604,75,662,327,543,922,953,320,145,484,774,6735,561.25,1259781.75,High,0.8377475400316772
162,Product_162,Toys,317.99,1.5,968,973,378,176,479,178,782,128,657,496,693,589,823,6352,529.3333333333334,2019872.48,Low,0.6396714016952575
163,Product_163,Home & Kitchen,318.6,2.3,44,289,72,826,876,787,996,598,864,586,256,602,79,6831,569.25,2176356.6,Medium,0.8717243025132692
164,Product_164,Clothing,270.21,4.0,97,849,922,798,122,111,396,841,967,946,188,598,676,7414,617.8333333333334,2003336.94,High,0.39487625661459835
165,Product_165,Books,49.69,1.6,554,759,921,348,399,735,516,425,242,162,239,781,412,5939,494.9166666666667,295108.91,Low,0.14682574934555218
166,Product_166,Electronics,418.47,4.3,227,353,914,254,698,725,458,947,752,810,870,103,251,7135,594.5833333333334,2985783.45,High,0.35034817948365826
167,Product_167,Health,163.79,4.3,774,638,247,836,964,58,329,664,511,540,898,451,11,6147,512.25,1006817.13,High,0.5174181615891378
168,Product_168,Sports,97.33,3.0,679,74,859,701,451,326,819,693,848,164,502,486,400,6323,526.9166666666666,615417.59,Medium,1.1289101508136257
169,Product_169,Books,25.18,1.0,436,872,784,307,660,904,844,124,554,848,707,338,815,7757,646.4166666666666,195321.26,Low,0.419292664394923
170,Product_170,Clothing,297.49,2.1,791,715,42,344,103,620,168,66,94,697,808,686,723,5066,422.1666666666667,1507084.34,Medium,1.4666558329256487
171,Product_171,Electronics,340.39,3.5,601,560,376,126,754,896,692,5,225,565,676,565,281,5721,476.75,1947371.19,Medium,4.363568450046567
172,Product_172,Home & Kitchen,13.21,4.9,379,590,40,936,461,668,365,636,517,294,818,899,111,6335,527.9166666666666,83685.35,High,2.007688971792345
173,Product_173,Toys,258.49,3.5,178,440,169,286,742,190,177,313,213,41,270,477,722,4040,336.6666666666667,1044299.6000000001,Medium,0.669588019531514
174,Product_174,Toys,117.12,2.0,427,990,945,765,990,199,654,325,717,923,519,722,377,8126,677.1666666666666,951717.12,Medium,0.1828752243894744
175,Product_175,Health,324.36,3.5,915,240,211,724,717,311,361,564,66,284,549,606,750,5383,448.5833333333333,1746029.8800000001,Medium,0.5592933787961264
176,Product_176,Books,91.31,3.2,709,860,492,761,709,707,759,577,395,938,113,222,267,6800,566.6666666666666,620908.0,Medium,0.11168022535514673
177,Product_177,Home & Kitchen,347.01,4.1,307,153,679,595,395,34,638,825,611,386,338,8,916,5578,464.8333333333333,1935621.78,High,11.99032923438993
178,Product_178,Health,196.43,1.4,779,785,38,486,911,378,774,505,11,137,567,52,297,4941,411.75,970560.63,Low,2.658693853282965
179,Product_179,Sports,468.68,4.0,504,95,368,382,336,386,39,81,236,186,942,76,316,3443,286.9166666666667,1613665.24,High,1.0111712565737045
180,Product_180,Sports,73.07,3.2,268,725,756,405,598,757,923,598,833,909,985,717,569,8775,731.25,641189.2499999999,Medium,0.02521827189604992
181,Product_181,Health,173.83,4.9,586,293,150,387,141,236,415,1,769,715,358,502,508,4475,372.9166666666667,777889.25,High,69.88505405639296
182,Product_182,Clothing,61.17,2.4,8,208,110,524,316,615,354,203,398,430,649,315,949,5071,422.5833333333333,310193.07,Medium,0.5490136858991218
183,Product_183,Toys,462.72,3.5,920,342,479,556,710,518,254,661,406,553,613,813,545,6450,537.5,2984544.0,Medium,0.1583647140596357
184,Product_184,Home & Kitchen,439.28,4.7,508,87,435,638,557,282,142,804,924,861,333,821,774,6658,554.8333333333334,2924726.2399999998,High,0.8079598829855249
185,Product_185,Books,132.68,1.4,476,817,46,937,799,0,751,403,848,415,688,841,364,6909,575.75,916686.12,Low,inf
186,Product_186,Electronics,331.69,4.7,297,775,574,625,526,730,739,102,479,799,168,623,546,6686,557.1666666666666,2217679.34,High,0.4880380638388473
